address,address_detail,area,money,title
义井,太药D小区,2室                    90㎡,1250元/月,整租 | 新上，义井街，和平南路，万柏林实验小学，步梯3层，空
南中环,融创中心,3室                    126.56㎡,3333元/月,整租 | 急租！南中环融创中心，中英空调钥匙在手，房源真实随时
柳巷,太原市公安局迎泽分局宿舍,2室                    50㎡,1388元/月,整租 | 青年路并州路中正天街省中医院五中东岗小学裕民龙城苑迎
长风商务区,长风观园二期,1室                    70㎡,1000元/月,整租 | 实拍可月租可短租和平公园龙城寺第二中学
小井峪,华峪东区,2室                    97.00㎡,1400元/月,整租 | 空调房业主急租大降价小井峪华峪东区A区精装修拎包入住
滨河东路,滨江花园,2室                    65㎡,1500元/月,整租 | 实拍可月付白求恩医院平阳路龙城万达星河湾祥云公园龙城
义井,兰亭御湖城东区,3室                    99㎡,1700元/月,整租 | 兰亭御湖城东区 精装小三居仅租1600 拎包入住 随
千峰南路,化二建28街小区,2室                    67.5㎡,1100元/月,整租 | 化二建28街 义井东街 长风西街 化二建医院 六十二
南中环,融创中心,3室                    126.4㎡,3000元/月,整租 | 融创中心西区，小区环境优美，绿化丰富
晋源周边,吴家堡小区,3室                    108㎡,1600元/月,整租 | 吴家堡万国城万国汽贸万象城华润大厦尚德峰国际广鑫大厦
千峰北路,恒大书院,1室                    69.5㎡,1458元/月,整租 | 千峰北路 彭西二巷 恒大书院 南北一居 高层采光好
真武路,小店四组小区,1室                    55㎡,1250元/月,整租 | 整租一居室 小店四组 康宁大厦 万马仕 富士康康宁街
大南门,梧桐居,2室                    60.73㎡,1700元/月,整租 | 特价好房，南海街，羊市街，柳巷附近，精装修两居室，拎
长风西大街,恒实天和福地,2室                    94.08㎡,1630元/月,整租 | 实拍可月付 和平南路长风西街恒实广场义井集贸市场华润
长风商务区,南屯北小区,2室                    91.48㎡,2000元/月,整租 | 长风西街万象城旁南屯小区两室两厅落地窗采光好家里干净
迎泽周边,随柳园,2室                    84.00㎡,900元/月,整租 | 五龙口街 经园路 实验一小附近 俩室俩厅 停车方便
龙城大街,富力壹品,2室                    100㎡,2000元/月,整租 | 房东新家，出租，北美N1附近，龙城大街，整租两居室
千峰南路,化二建28街小区,2室                    70㎡,1000元/月,整租 | 新上，义井小吃街，万柏林实验小学，化二建，4层两居
晋阳街,实地紫藤公馆,2室                    81㎡,1980元/月,整租 | 实拍可月付北美N1体育学院白求恩苏宁广场宏安世纪大厦
西客站,中海国际社区,3室                    98.46㎡,1500元/月,整租 | 新上 三居 中海国际家具家电齐全 看房方便 拎包入住
小井峪,西华苑四期,1室                    65㎡,999元/月,整租 | 西中环  奥林匹克 海唐广场 创客大厦  西华苑四期
晋阳街,文锦世家,1室                    65㎡,1000元/月,整租 | 可短租可月付 清新风茂业北美南中环长治路北张文锦世家
敦化坊,机床厂胜利小区,3室                    120㎡,1350元/月,整租 | 可季度付 营西街 北大街 北沙河 机床厂胜利小区 拎
迎泽西大街,海唐广场,1室                    45㎡,799元/月,整租 | 直租无中介 可月付 海唐广场 创客大厦 迎泽西大街
真武路,小店四组小区,1室                    56㎡,1300元/月,整租 | 康宁大厦旁 正规精装一居室 配置齐全 康宁街地铁万马
北中环,富力城龙栖谷,3室                    89.55㎡,1600元/月,整租 | 北中环 东中环 紧邻师院附 富力广场 龙栖谷 拎包住
长风商务区,华润悦府,2室                    100㎡,2800元/月,整租 | 华润悦府大两居 简装 商住两用
坞城,龙城新居,1室                    50㎡,800元/月,整租 | 可月付中国知网新汇众龙城教育龙城大街汤如意马练营南站
西矿街,泽峪园,1室                    40㎡,800元/月,整租 | 实拍可月付科技大学信达国际金融中心公元时代城居然之家
体育路,世纪花苑北区,2室                    85㎡,2300元/月,整租 | 可月付带空调北美N1高新区九一师范小学花海国金煤炭医
经济技术开发区,中泽纯境,1室                    40㎡,700元/月,整租 | 实拍可月付可短租太原学院百度标注翰林华府国仕山晶科停
小东门,景泽明苑,3室                    110㎡,2499元/月,整租 | 新上 二院附近 五一路 小东门 景泽明苑 复式 看房
真武路,小店四组小区,1室                    55.00㎡,1250元/月,整租 | 整租一室 富康街真武路 小店四组 晋阳紫城 家电齐全
西客站,奥林匹克花园(南区),1室                    50.22㎡,850元/月,整租 | 特价便宜租 西客站 居然之家 奥林南区 随时看房 家
南中环,融创中心,2室                    86.24㎡,2900元/月,整租 | 可月付实图实价带衣帽间不引流北美N1国金巨鑫国际晋阳
长风西大街,恒实天和福地,3室                    124.75㎡,2300元/月,整租 | 和平南路 恒实天和福地 精装三居 全新出租 拎包入住
平阳,山西财经大学西校区宿舍,1室                    55㎡,1500元/月,整租 | 首租 无物业费可停车一居室可寄付 亲贤街平阳景苑 财
亲贤,永丰公寓,1室                    50㎡,1200元/月,整租 | 无中介可月付 亲贤街并州路茂业天地太航医院附近 整租
和平南路,漫香堤,3室                    131.11㎡,2200元/月,整租 | 家具可换新 和平南路 省六建 漫香提 三居一卫 随时
晋祠路,义井商贸城小区,3室                    134.0㎡,1850元/月,整租 | 义井商贸城小区 南三巷 千峰南路 河西批发市场 华润
晋阳街,云水世纪明珠,2室                    98.0㎡,2500元/月,整租 | 可月付出租北美N1奥斯卡云水世纪明珠火炬大厦晋阳街体
敦化坊,馨春龙城苑B区,2室                    106.0㎡,1500元/月,整租 | 东中环肿瘤医院附近精装两室拎包入住
柳巷,金湾小区,2室                    106.87㎡,2300元/月,整租 | 房东第一次出租 温馨两居室 邻近眼科医院 杏花岭医院
南中环,中环壹号,2室                    92.0㎡,1750元/月,整租 | 可月付南站印象城北美N1山西大学南中环大都会北张晋阳
西矿街,广兴巅峰国际,1室                    60㎡,1666元/月,整租 | 可月付国际公园时代城金昌盛西中环居然之家奥林匹克拎包
小店周边,华浩水木云天,1室                    40㎡,600元/月,整租 | 月付太原学院晶科能源中心百度基地汾东大街旅游学院昆明
晋阳街,小马村自建房,1室                    20㎡,500元/月,整租 | 无中介费实图实价晋阳街平阳路小马村白球恩医院附近个人
